title,id,url,HITId,WorkerId0,WorkerId1,WorkerId2,AssignmentStatus0,AssignmentStatus1,AssignmentStatus2,labels0,labels1,labels2,labels_enriched0,labels_enriched1,labels_enriched2,labels_enriched_majority
Homemade minestrone.jpg,12565901,https://upload.wikimedia.org/wikipedia/commons/c/c5/Homemade_minestrone.jpg,301KG0KXARW0V3Z7EHIF8Q5S9KE2HE,A1LGGK1BGSZ1R7,A2H1RXUC8XNNIW,A2X3QCJK0H18T8,Approved,Approved,Approved,{'Food'},{'Food'},{'Food'},"{'Culture', 'Food'}","{'Culture', 'Food'}","{'Culture', 'Food'}","{'Culture', 'Food'}"
"Figure-8---Creme-Angelique,-Illustration.png",30561758,https://upload.wikimedia.org/wikipedia/commons/0/03/Figure-8---Creme-Angelique%2C-Illustration.png,301KG0KXARW0V3Z7EHIF8Q5S9KE2HE,A1LGGK1BGSZ1R7,A2H1RXUC8XNNIW,A2X3QCJK0H18T8,Approved,Approved,Approved,{'Medicine & Health'},"{'Art', 'Medicine & Health'}",{'Logos & Symbols'},"{'Medicine & Health', 'STEM'}","{'Art', 'Culture', 'Medicine & Health', 'STEM'}",{'Logos & Symbols'},"{'Medicine & Health', 'STEM'}"
0 Dréhance - Château de Walzin (1).jpg,16644463,https://upload.wikimedia.org/wikipedia/commons/7/75/0_Dr%C3%A9hance_-_Ch%C3%A2teau_de_Walzin_%281%29.jpg,301KG0KXARW0V3Z7EHIF8Q5S9KE2HE,A1LGGK1BGSZ1R7,A2H1RXUC8XNNIW,A2X3QCJK0H18T8,Approved,Approved,Approved,"{'Plants', 'History', 'Landscapes', 'Architecture'}","{'Plants', 'Landscapes'}",{'Plants'},"{'Plants', 'Landscapes', 'Architecture', 'History', 'Nature', 'Places', 'Culture', 'STEM'}","{'Plants', 'Landscapes', 'Nature', 'Places', 'STEM'}","{'Plants', 'Nature', 'STEM'}","{'Plants', 'Landscapes', 'Nature', 'Places', 'STEM'}"
Douglas geologic map.PNG,48442260,https://upload.wikimedia.org/wikipedia/commons/9/9f/Douglas_geologic_map.PNG,301KG0KXARW0V3Z7EHIF8Q5S9KE2HE,A1LGGK1BGSZ1R7,A2H1RXUC8XNNIW,A2X3QCJK0H18T8,Approved,Approved,Approved,{'Maps & Flags'},{'Maps & Flags'},"{'Logos & Symbols', 'Diagrams'}","{'Places', 'Maps & Flags'}","{'Places', 'Maps & Flags'}","{'Logos & Symbols', 'Diagrams', 'STEM'}","{'Places', 'Maps & Flags'}"
Cryptochiton stelleri.jpg,9554405,https://upload.wikimedia.org/wikipedia/commons/a/a0/Cryptochiton_stelleri.jpg,301KG0KXARW0V3Z7EHIF8Q5S9KE2HE,A1LGGK1BGSZ1R7,A2H1RXUC8XNNIW,A2X3QCJK0H18T8,Approved,Approved,Approved,{'Animals'},{'Animals'},{'Animals'},"{'Animals', 'Nature', 'STEM'}","{'Animals', 'Nature', 'STEM'}","{'Animals', 'Nature', 'STEM'}","{'Animals', 'Nature', 'STEM'}"
Bydg ul Gdańska - koszary.jpg,23997615,https://upload.wikimedia.org/wikipedia/commons/3/3c/Bydg_ul_Gda%C5%84ska_-_koszary.jpg,301KG0KXARW0V3Z7EHIF8Q5S9KE2HE,A1LGGK1BGSZ1R7,A2H1RXUC8XNNIW,A2X3QCJK0H18T8,Approved,Approved,Approved,{'Architecture'},{'Places'},{'Architecture'},"{'Places', 'Architecture'}",{'Places'},"{'Places', 'Architecture'}","{'Architecture', 'Places'}"
Chicago Sun 1947-06-26-2 Flying Saucer headline-th.jpg,56686943,https://upload.wikimedia.org/wikipedia/commons/4/49/Chicago_Sun_1947-06-26-2_Flying_Saucer_headline-th.jpg,301KG0KXARW0V3Z7EHIF8Q5S9KE2HE,A1LGGK1BGSZ1R7,A2H1RXUC8XNNIW,A2X3QCJK0H18T8,Approved,Approved,Approved,"{'Technology & Engineering', 'Events'}",{'Technology & Engineering'},"{'History', 'Events'}","{'Society', 'Technology & Engineering', 'Events', 'STEM'}","{'Technology & Engineering', 'STEM'}","{'History', 'Society', 'Culture', 'Events'}","{'Society', 'Technology & Engineering', 'Events', 'STEM'}"
Abrazo del Estrecho B&N.jpg,20853818,https://upload.wikimedia.org/wikipedia/commons/5/52/Abrazo_del_Estrecho_B%26N.jpg,301KG0KXARW0V3Z7EHIF8Q5S9KE2HE,A1LGGK1BGSZ1R7,A2H1RXUC8XNNIW,A2X3QCJK0H18T8,Approved,Approved,Approved,"{'History', 'Politics', 'Transportation', 'Events'}","{'People', 'Transportation'}","{'Architecture', 'Events', 'People'}","{'Society', 'Transportation', 'History', 'Politics', 'Events', 'Culture'}","{'Society', 'People', 'Transportation'}","{'Society', 'People', 'Architecture', 'Places', 'Events'}","{'Society', 'People', 'Transportation', 'Events'}"
Trewavasia carinata.JPG,15084421,https://upload.wikimedia.org/wikipedia/commons/b/b2/Trewavasia_carinata.JPG,301KG0KXARW0V3Z7EHIF8Q5S9KE2HE,A1LGGK1BGSZ1R7,A2H1RXUC8XNNIW,A2X3QCJK0H18T8,Approved,Approved,Approved,{'Fossils'},{'Fossils'},"{'Monuments & Memorials', 'Diagrams', 'Logos & Symbols', 'Fossils', 'Literature'}","{'Nature', 'Fossils', 'STEM'}","{'Nature', 'Fossils', 'STEM'}","{'Monuments & Memorials', 'Diagrams', 'Culture', 'Logos & Symbols', 'Nature', 'Places', 'Fossils', 'Literature', 'STEM'}","{'Nature', 'Fossils', 'STEM'}"
Estemmenosuchus uralensis (2).jpg,6026020,https://upload.wikimedia.org/wikipedia/commons/e/ea/Estemmenosuchus_uralensis_%282%29.jpg,301KG0KXARW0V3Z7EHIF8Q5S9KE2HE,A1LGGK1BGSZ1R7,A2H1RXUC8XNNIW,A2X3QCJK0H18T8,Approved,Approved,Approved,{'Animals'},"{'Animals', 'Art'}","{'History', 'Animals', 'Monuments & Memorials'}","{'Animals', 'Nature', 'STEM'}","{'Art', 'Nature', 'Animals', 'Culture', 'STEM'}","{'Monuments & Memorials', 'History', 'Nature', 'Places', 'Animals', 'Culture', 'STEM'}","{'Animals', 'Nature', 'Culture', 'STEM'}"
