,id,title,url,categories,labels_pred
0,5431865,"Bundesarchiv Bild 183-90569-0001, Berlin, Vorschlag zur Auszeichnung mit Goldener DFD-Ehrennadel.jpg",https://upload.wikimedia.org/wikipedia/commons/6/6c/Bundesarchiv_Bild_183-90569-0001%2C_Berlin%2C_Vorschlag_zur_Auszeichnung_mit_Goldener_DFD-Ehrennadel.jpg,"['1962 in Mitte (district of Berlin)' 'Changing diapers'
 'February 1962 in East Berlin' 'Florence Nightingale Medal recipients'
 'Photographs by Werner Krisch']","{'STEM', 'Medicine & Health', 'Society'}"
1,224367,William Herschel01.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/William_Herschel01.jpg,"['Lemuel Francis Abbott'
 '18th-century portrait paintings in the National Portrait Gallery, London'
 'Wilhelm Herschel' '1780s portrait paintings from Great Britain'
 '1785 oil on canvas paintings in the United Kingdom'
 '1785 portrait paintings of men'
 '18th-century oil portraits of men at bust length'
 'Portrait paintings of scientists' 'Scientists in 1785']","{'Space', 'STEM', 'People', 'Culture', 'Technology & Engineering', 'Society', 'Nature'}"
2,36864293,Cavitation.png,https://upload.wikimedia.org/wikipedia/commons/6/6f/Cavitation.png,['Gross pathology of tuberculosis'],"{'STEM', 'Medicine & Health'}"
3,71246656,Chest X-ray of a Ghon’s focus.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Chest_X-ray_of_a_Ghon%E2%80%99s_focus.jpg,['X-rays of lung tuberculosis'],"{'STEM', 'Medicine & Health'}"
4,42835070,Harold Pitney Brown edison electrocute horse 1888 New York Medico-Legal Journal vol 6 issue 4.png,https://upload.wikimedia.org/wikipedia/commons/a/a8/Harold_Pitney_Brown_edison_electrocute_horse_1888_New_York_Medico-Legal_Journal_vol_6_issue_4.png,['Electric chairs' 'Alternating current'],"{'Medicine & Health', 'STEM', 'Society'}"
5,385323,Oseta kartvela skribo.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Oseta_kartvela_skribo.jpg,['Ossetian language' 'Languages of South Ossetia' 'Mkhedruli book pages'],"{'Culture', 'Literature', 'Society'}"
6,75256,120px-Hexahedron-slowturn.gif,https://upload.wikimedia.org/wikipedia/commons/5/50/120px-Hexahedron-slowturn.gif,"['Animations of cubes'
 'Set of Platonic solids; green; animated and scaled'
 'Animations of geometry']","{'STEM', 'Mathematics', 'Culture'}"
7,40676871,Tang Zhongzong.png,https://upload.wikimedia.org/wikipedia/commons/5/5e/Tang_Zhongzong.png,['Emperor Zhongzong of Tang'],"{'Politics', 'Places', 'History', 'Culture', 'Society'}"
8,21066943,Chile Greece Locator.png,https://upload.wikimedia.org/wikipedia/commons/7/7c/Chile_Greece_Locator.png,"['Bilateral maps of Chile' 'Bilateral maps of Greece'
 'Relations of Chile and Greece']","{'Maps & Flags', 'Politics', 'Society', 'Places'}"
10,44340480,MBST.png,https://upload.wikimedia.org/wikipedia/commons/3/31/MBST.png,['Minimum spanning trees'],"{'STEM', 'Mathematics'}"
11,38162811,Troparyovo MosMetro station 02-2015 platform.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/Troparyovo_MosMetro_station_02-2015_platform.jpg,"['Quality images of Moscow Metro' 'February 2015 in Moscow'
 'Troparyovo (Moscow Metro)' '81-717/714 on Sokolnicheskaya Line'
 'Centered tunnel perspective' 'Light fixtures in Moscow Metro'
 'Quality images of tunnels']","{'Politics', 'STEM', 'Places', 'Technology & Engineering', 'Society', 'Transportation'}"
12,7754058,Aniru Conteh CDC Lassa Documentary 1989.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Aniru_Conteh_CDC_Lassa_Documentary_1989.jpg,['Men of Sierra Leone' 'Health in Sierra Leone'],"{'Medicine & Health', 'STEM', 'Society', 'People'}"
13,4324678,Belsize Park stn northbound look north.JPG,https://upload.wikimedia.org/wikipedia/commons/4/47/Belsize_Park_stn_northbound_look_north.JPG,['Belsize Park tube station' 'Platforms on the London Underground'],"{'Politics', 'History', 'Culture', 'Society', 'Transportation'}"
14,2154684,Myles Standish Hall.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Myles_Standish_Hall.jpg,['Myles Standish Hall' 'Student housing in the United States'],"{'Politics', 'Society', 'People'}"
15,6197632,Robert A. Naef.JPG,https://upload.wikimedia.org/wikipedia/commons/6/60/Robert_A._Naef.JPG,"[""Observatoire d'Épendes"" 'Robert A. Naef' 'Monti della Trinita']","{'Space', 'STEM', 'Places', 'Nature'}"
16,40833081,Frank Jordan meets with Doug Cuthbertson and other union leaders at City Hall during the 1994 newspaper strike.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a1/Frank_Jordan_meets_with_Doug_Cuthbertson_and_other_union_leaders_at_City_Hall_during_the_1994_newspaper_strike.jpg,"['Frank Jordan' 'San Francisco newspaper strike of 1994'
 'Interior of San Francisco City Hall']","{'Politics', 'Society', 'Places'}"
17,16255055,Probus.jpg,https://upload.wikimedia.org/wikipedia/commons/9/90/Probus.jpg,"['Codex Manesse' 'Meister des Codex Manesse (Nachtragsmaler I)'
 'Henry IV of Silesia in miniature']","{'Music', 'Culture', 'Literature'}"
18,11693585,William Morris Queen Guenevere and Isoude Les Blanches Mains.png,https://upload.wikimedia.org/wikipedia/commons/6/6f/William_Morris_Queen_Guenevere_and_Isoude_Les_Blanches_Mains.png,"['Tristram and Isoude stained glass panels'
 'Stained-glass windows by William Morris' 'Guinevere']","{'Culture', 'Literature', 'Society'}"
19,595287,Clavius Crater.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Clavius_Crater.jpg,['Clavius (crater)' 'Johannes Kepler Sternwarte Linz'],"{'Space', 'STEM', 'Places'}"
20,6315221,"Rene Bull (Arabian Nights, 1912).jpg",https://upload.wikimedia.org/wikipedia/commons/b/b5/Rene_Bull_%28Arabian_Nights%2C_1912%29.jpg,['Illustrations to the Arabian Nights' 'René Bull'],"{'Culture', 'Literature'}"
21,3630886,A few moments more.jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/A_few_moments_more.jpg,['Breastfeeding' 'Puerperium'],"{'STEM', 'Medicine & Health'}"
22,27481622,Williamson's Bridge.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Williamson%27s_Bridge.jpg,"['Grade II listed bridges in Cheshire'
 'Bridges in Cheshire West and Chester'
 'Bridges over the Shropshire Union Canal' 'Huxley, Cheshire'
 'Bridges over canals in Cheshire' 'Bridges numbered 111'
 'April 2010 in Cheshire']","{'Politics', 'Nature', 'Places', 'Culture', 'Society', 'STEM', 'History', 'Transportation'}"
23,2297857,"Embassy of Hungary in The Hague, The Netherlands.jpg",https://upload.wikimedia.org/wikipedia/commons/b/b2/Embassy_of_Hungary_in_The_Hague%2C_The_Netherlands.jpg,"['Embassies of Hungary' 'Embassies in The Hague'
 'Relations of Hungary and the Netherlands' '2007 in The Hague'
 'May 2007 in the Netherlands']","{'Politics', 'Society'}"
24,7966673,Danilo Turk with Obamas.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Danilo_Turk_with_Obamas.jpg,"['Metropolitan portraits of Barack Obama with national leaders'
 'Danilo Türk in 2009' 'Barbara Miklič Türk'
 'Relations of Slovenia and the United States']","{'Politics', 'People', 'Places', 'Culture', 'Art', 'Society'}"
25,67316468,Ludovico Corrao.jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/Ludovico_Corrao.jpg,['Ludovico Corrao' 'People of Alcamo'],"{'Politics', 'Society'}"
26,76251034,Processes in the thermal degredation of organic matter.svg,https://upload.wikimedia.org/wikipedia/commons/8/81/Processes_in_the_thermal_degredation_of_organic_matter.svg,"['Fire' 'Pyrolysis' 'Oxidation reactions' 'Thermal decomposition'
 'Organic chemistry' 'Combustion' 'Charcoal' 'Coke (fuel)'
 'Carbon dioxide' 'Smoke']","{'STEM', 'Chemistry', 'Society', 'Culture', 'Medicine & Health', 'Nature'}"
27,56381753,New Melones spillway construction.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/New_Melones_spillway_construction.jpg,['New Melones Dam'],"{'Politics', 'STEM', 'Society', 'Nature'}"
28,76701626,"Rashida Tlaib, official portrait, 116th Congress.jpg",https://upload.wikimedia.org/wikipedia/commons/0/08/Rashida_Tlaib%2C_official_portrait%2C_116th_Congress.jpg,['Rashida Tlaib in 2019'],"{'Politics', 'Society', 'People'}"
29,44310307,Bucket toilet with two buckets.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Bucket_toilet_with_two_buckets.jpg,['Urine-diverting dry toilets' 'Sanitation' 'Hygiene' 'Emergencies'],"{'Culture', 'Technology & Engineering', 'Society', 'Medicine & Health', 'STEM', 'History'}"
30,6300588,PaulReveredentaltools.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/PaulReveredentaltools.jpg,"['Dental hand instruments' 'Surgical instruments' 'Paul Revere'
 'Medicine in the 18th century' 'History of dentistry']","{'STEM', 'People', 'History', 'Medicine & Health', 'Culture', 'Technology & Engineering', 'Society'}"
31,84813,Normal distribution cdf.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Normal_distribution_cdf.png,['Error function'],"{'STEM', 'Mathematics', 'Society', 'People'}"
32,2416357,Tomb of Nakht (2).jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Tomb_of_Nakht_%282%29.jpg,"['Ancient Egyptian agriculture' 'Economy of ancient Egypt'
 'Traditions of ancient Egypt' 'Tomb of Nakht TT52' 'Schenti'
 'Ancient Egyptian pharmacy' 'N. de Garis Davies']","{'Places', 'Culture', 'Society', 'Medicine & Health', 'STEM', 'People', 'History', 'Art'}"
