title,id,url,HITId,WorkerId0,WorkerId1,WorkerId2,AssignmentStatus0,AssignmentStatus1,AssignmentStatus2,labels0,labels1,labels2,labels_enriched0,labels_enriched1,labels_enriched2,labels_enriched_majority
Euler's formula.svg,821342,https://upload.wikimedia.org/wikipedia/commons/7/71/Euler%27s_formula.svg,30Y6N4AHZ470N7BQ7BEQIDY2TNQRD4,A6M7YIG6KKHPA,AU8TJ98NUN6J2,AZHNR434Q0PCF,Approved,Approved,Approved,"{'Logos & Symbols', 'Mathematics'}","{'Logos & Symbols', 'Diagrams', 'Technology & Engineering', 'Art', 'Mathematics'}",{'Diagrams'},"{'Logos & Symbols', 'STEM', 'Mathematics'}","{'STEM', 'Logos & Symbols', 'Diagrams', 'Culture', 'Technology & Engineering', 'Art', 'Mathematics'}","{'Diagrams', 'STEM'}","{'Logos & Symbols', 'Mathematics', 'Diagrams', 'STEM'}"
Meteor Bolide.JPG,15051498,https://upload.wikimedia.org/wikipedia/commons/1/17/Meteor_Bolide.JPG,30Y6N4AHZ470N7BQ7BEQIDY2TNQRD4,A6M7YIG6KKHPA,AU8TJ98NUN6J2,AZHNR434Q0PCF,Approved,Approved,Approved,"{'Space', 'Places'}","{'None', 'Events', 'Space'}",{'Space'},"{'Space', 'Places', 'STEM'}","{'STEM', 'Society', 'Events', 'Space'}","{'Space', 'STEM'}","{'Space', 'STEM'}"
Unic années 40 - 4.JPG,29584154,https://upload.wikimedia.org/wikipedia/commons/8/8b/Unic_ann%C3%A9es_40_-_4.JPG,30Y6N4AHZ470N7BQ7BEQIDY2TNQRD4,A6M7YIG6KKHPA,AU8TJ98NUN6J2,AZHNR434Q0PCF,Approved,Approved,Approved,"{'Transportation', 'Technology & Engineering'}","{'None', 'Transportation', 'History', 'Technology & Engineering'}",{'Technology & Engineering'},"{'Society', 'Transportation', 'STEM', 'Technology & Engineering'}","{'Transportation', 'STEM', 'History', 'Culture', 'Society', 'Technology & Engineering'}","{'STEM', 'Technology & Engineering'}","{'Society', 'Transportation', 'STEM', 'Technology & Engineering'}"
Hartford-Deerfield Basin geological map.jpg,9094098,https://upload.wikimedia.org/wikipedia/commons/0/09/Hartford-Deerfield_Basin_geological_map.jpg,30Y6N4AHZ470N7BQ7BEQIDY2TNQRD4,A6M7YIG6KKHPA,AU8TJ98NUN6J2,AZHNR434Q0PCF,Approved,Approved,Approved,{'Maps & Flags'},"{'None', 'Maps & Flags'}",{'Maps & Flags'},"{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Places'}"
Seetha Coleman-Kammula 0216 CHF2014 crop.JPG,38236948,https://upload.wikimedia.org/wikipedia/commons/c/c3/Seetha_Coleman-Kammula_0216_CHF2014_crop.JPG,30Y6N4AHZ470N7BQ7BEQIDY2TNQRD4,A6M7YIG6KKHPA,AU8TJ98NUN6J2,AZHNR434Q0PCF,Approved,Approved,Approved,{'People'},{'People'},{'People'},"{'Society', 'People'}","{'Society', 'People'}","{'Society', 'People'}","{'People', 'Society'}"
Canada's Wonderland Scandinavian Building from mountain base.jpg,16224687,https://upload.wikimedia.org/wikipedia/commons/e/e6/Canada%27s_Wonderland_Scandinavian_Building_from_mountain_base.jpg,30Y6N4AHZ470N7BQ7BEQIDY2TNQRD4,A6M7YIG6KKHPA,AU8TJ98NUN6J2,AZHNR434Q0PCF,Approved,Approved,Approved,"{'Places', 'Architecture', 'Plants', 'People'}","{'Landscapes', 'Plants', 'People', 'Food'}","{'Architecture', 'Plants', 'People'}","{'Nature', 'STEM', 'Society', 'Architecture', 'People', 'Places', 'Plants'}","{'Plants', 'Nature', 'STEM', 'Culture', 'Society', 'People', 'Landscapes', 'Places', 'Food'}","{'Nature', 'STEM', 'Society', 'Architecture', 'People', 'Places', 'Plants'}","{'STEM', 'Nature', 'Society', 'Architecture', 'People', 'Places', 'Plants'}"
Dual cube t02 f4b.png,35017098,https://upload.wikimedia.org/wikipedia/commons/c/ce/Dual_cube_t02_f4b.png,30Y6N4AHZ470N7BQ7BEQIDY2TNQRD4,A6M7YIG6KKHPA,AU8TJ98NUN6J2,AZHNR434Q0PCF,Approved,Approved,Approved,"{'Architecture', 'Mathematics'}","{'Logos & Symbols', 'Architecture', 'Technology & Engineering', 'Art', 'Mathematics', 'Chemistry'}",{'Diagrams'},"{'Architecture', 'Places', 'STEM', 'Mathematics'}","{'STEM', 'Logos & Symbols', 'Culture', 'Architecture', 'Technology & Engineering', 'Art', 'Places', 'Mathematics', 'Chemistry'}","{'Diagrams', 'STEM'}","{'Mathematics', 'Architecture', 'Places', 'STEM'}"
Joseph Pulitzer 3c 1947 issue U.S. stamp.jpg,47421043,https://upload.wikimedia.org/wikipedia/commons/6/6f/Joseph_Pulitzer_3c_1947_issue_U.S._stamp.jpg,30Y6N4AHZ470N7BQ7BEQIDY2TNQRD4,A6M7YIG6KKHPA,AU8TJ98NUN6J2,AZHNR434Q0PCF,Approved,Approved,Approved,"{'Art', 'History', 'People'}","{'Art', 'Logos & Symbols', 'History'}","{'Literature', 'History'}","{'History', 'Society', 'Culture', 'People', 'Art'}","{'Art', 'Logos & Symbols', 'History', 'Culture'}","{'Literature', 'History', 'Culture'}","{'Art', 'History', 'Culture'}"
Allosaurus fragilis USNM4734.jpg,8166364,https://upload.wikimedia.org/wikipedia/commons/8/84/Allosaurus_fragilis_USNM4734.jpg,30Y6N4AHZ470N7BQ7BEQIDY2TNQRD4,A6M7YIG6KKHPA,AU8TJ98NUN6J2,AZHNR434Q0PCF,Approved,Approved,Approved,"{'Art', 'Monuments & Memorials', 'Fossils'}","{'Fossils', 'History'}",{'Fossils'},"{'Places', 'Nature', 'STEM', 'Culture', 'Art', 'Monuments & Memorials', 'Fossils'}","{'STEM', 'Nature', 'History', 'Culture', 'Fossils'}","{'Fossils', 'STEM', 'Nature'}","{'Culture', 'Fossils', 'STEM', 'Nature'}"
While Satan Sleeps (1922) - 2.jpg,40854286,https://upload.wikimedia.org/wikipedia/commons/1/10/While_Satan_Sleeps_%281922%29_-_2.jpg,30Y6N4AHZ470N7BQ7BEQIDY2TNQRD4,A6M7YIG6KKHPA,AU8TJ98NUN6J2,AZHNR434Q0PCF,Approved,Approved,Approved,"{'Art', 'Events', 'Literature', 'People'}","{'Literature', 'People'}",{'Literature'},"{'Society', 'Culture', 'Events', 'People', 'Art', 'Literature'}","{'Society', 'Literature', 'People', 'Culture'}","{'Literature', 'Culture'}","{'Society', 'Literature', 'People', 'Culture'}"
